name,shelf_life,storage
banana,5,counter
apple,30,counter
guava,4,counter
pear,4,fridge
mango,5,counter
leafy green,5,fridge
milk,5,fridge
carrot,28,counter
french bean,14,counter
beet,30,counter
pointed gourd,15,counter
ash gourd,6,counter
okra,4,fridge
cauliflower,5,counter
cabbage,5,counter
